taxid,rank,date,shield_no
962602,POLICE OFFICER,10/11/2016,25677
955507,POLICE OFFICER,7/9/2013,9961
955172,POLICE OFFICER,7/9/2013,15591
982479,POLICE OFFICER,4/30/2025,22374
953181,POLICE OFFICER,7/11/2012,14475
953181,SERGEANT,12/23/2022,4232
937071,POLICE OFFICER,1/10/2005,4620
937071,DETECTIVE,8/29/2013,305
937071,SERGEANT,11/3/2014,4206
937071,LIEUTENANT,12/22/2020,
937071,LT SPECIAL ASSIGN,10/30/2025,
948387,POLICE OFFICER,7/14/2009,25401
948387,SERGEANT,10/28/2016,4429
948387,LIEUTENANT,8/8/2025,
938997,POLICE OFFICER,7/11/2005,29159
938997,SERGEANT,6/24/2011,4513
938998,POLICE OFFICER,7/11/2005,4883
959809,POLICE OFFICER,10/7/2015,4409
981581,POLICE OFFICER,1/29/2025,28654
971141,POLICE OFFICER,2/24/2021,3416
933004,POLICE OFFICER,7/1/2003,19828
933004,DETECTIVE,10/26/2012,6704
958910,POLICE OFFICER,7/8/2015,17630
981582,POLICE OFFICER,1/29/2025,27029
947244,POLICE OFFICER,7/8/2008,12769
947244,SERGEANT,11/26/2013,322
947244,LIEUTENANT,7/30/2021,
972792,POLICE OFFICER,10/12/2021,2395
975020,POLICE OFFICER,7/13/2022,17800
950869,POLICE OFFICER,7/6/2011,11435
950869,SERGEANT,7/30/2021,1842
982480,POLICE OFFICER,4/30/2025,23156
948092,POLICE OFFICER,1/14/2009,7781
948092,DETECTIVE,11/24/2015,4478
924157,POLICE OFFICER,7/7/1999,9249
924157,SERGEANT,6/30/2005,2253
924157,SERGEANT,1/4/2008,5599
924157,LIEUTENANT,10/25/2013,
924157,CAPTAIN,6/24/2016,
924157,DEPUTY INSPECTOR,6/10/2021,
966706,POLICE OFFICER,10/24/2018,11410
975021,POLICE OFFICER,7/13/2022,18058
930706,POLICE OFFICER,7/1/2002,31367
930706,DETECTIVE,5/2/2016,4902
951992,POLICE OFFICER,1/9/2012,10181
951992,SERGEANT,6/24/2022,4457
972104,POLICE OFFICER,7/7/2021,26980
941073,POLICE OFFICER,1/9/2006,26642
941073,DETECTIVE,10/18/2021,6476
942172,POLICE OFFICER,7/10/2006,9543
945987,POLICE OFFICER,1/7/2008,25841
945987,DETECTIVE,5/30/2023,2592
943554,POLICE OFFICER,1/10/2007,21562
943554,DETECTIVE,1/26/2024,2098
975022,POLICE OFFICER,7/13/2022,18484
964647,POLICE OFFICER,10/18/2017,3537
944796,POLICE OFFICER,7/9/2007,19781
974339,POLICE OFFICER,4/13/2022,10898
928760,POLICE OFFICER,7/2/2001,8287
939000,POLICE OFFICER,7/11/2005,7453
962603,POLICE OFFICER,10/11/2016,13506
968000,POLICE OFFICER,7/1/2019,18659
916193,POLICE OFFICER,6/30/1995,24587
916193,DETECTIVE,3/5/2019,7851
966208,POLICE OFFICER,7/2/2018,8605
978951,POLICE OFFICER,1/17/2024,10027
972793,POLICE OFFICER,10/12/2021,3706
949309,POLICE OFFICER,7/6/2010,15975
949309,DETECTIVE,6/10/2021,3323
937074,POLICE OFFICER,1/10/2005,3350
937074,DETECTIVE,4/25/2025,441
978640,POLICE OFFICER,1/3/2024,8277
951994,POLICE OFFICER,1/9/2012,11200
962604,POLICE OFFICER,10/11/2016,19145
962604,SERGEANT,10/25/2024,3146
940988,POLICE OFFICER,1/9/2006,24471
939001,POLICE OFFICER,7/11/2005,13191
939001,DETECTIVE,9/29/2023,7695
976768,POLICE OFFICER,4/26/2023,18518
949310,POLICE OFFICER,7/6/2010,778
949310,POLICE OFFICER,11/24/2010,9098
949310,DETECTIVE,6/24/2022,5928
949310,SERGEANT,7/31/2024,466
935289,POLICE OFFICER,7/1/2004,31712
935289,DETECTIVE,11/22/2022,1876
953090,POLICE OFFICER,7/11/2012,12059
953090,DETECTIVE,11/24/2020,5652
940456,POLICE OFFICER,1/9/2006,12059
940456,SERGEANT,3/30/2012,2386
940456,LIEUTENANT,12/21/2021,
977271,POLICE OFFICER,7/5/2023,24406
959810,POLICE OFFICER,10/7/2015,8987
959810,SERGEANT,8/25/2023,1403
951996,POLICE OFFICER,1/9/2012,18042
939002,POLICE OFFICER,7/11/2005,7895
939002,SERGEANT,10/28/2011,4049
939002,LIEUTENANT,1/29/2021,
976537,POLICE OFFICER,1/31/2023,8658
932901,POLICE OFFICER,7/1/2003,29837
932901,SERGEANT,10/25/2013,4890
937077,POLICE OFFICER,1/10/2005,9591
957842,POLICE OFFICER,1/7/2015,15231
957842,POLICE OFFICER,5/15/2018,1513
957842,SERGEANT,10/3/2025,2986
944797,POLICE OFFICER,7/9/2007,18399
966707,POLICE OFFICER,10/24/2018,9925
970694,POLICE OFFICER,12/29/2020,2532
942173,POLICE OFFICER,7/10/2006,22960
942173,DETECTIVE,3/31/2017,98
942173,SERGEANT,6/9/2017,1808
945814,POLICE OFFICER,1/7/2008,24572
945814,SERGEANT,12/19/2019,5103
960921,POLICE OFFICER,1/6/2016,17877
961939,POLICE OFFICER,7/13/2016,14305
937078,POLICE OFFICER,1/10/2005,28995
937078,DETECTIVE,5/2/2016,4903
966209,POLICE OFFICER,7/2/2018,4653
944799,POLICE OFFICER,7/9/2007,13654
944799,SERGEANT,9/5/2014,181
944799,SERGEANT,10/14/2016,3813
944799,LIEUTENANT,2/9/2022,
941074,POLICE OFFICER,1/9/2006,25035
954121,POLICE OFFICER,1/9/2013,23479
954121,DETECTIVE,3/5/2019,7853
973591,POLICE OFFICER,12/29/2021,28689
960922,POLICE OFFICER,1/6/2016,14685
976259,POLICE OFFICER,1/17/2023,4333
965327,POLICE OFFICER,1/10/2018,28366
975023,POLICE OFFICER,7/13/2022,18272
979336,POLICE OFFICER,4/24/2024,16726
955174,POLICE OFFICER,7/9/2013,21758
943557,POLICE OFFICER,1/10/2007,17436
943557,SERGEANT,5/29/2012,2682
943557,LIEUTENANT,8/30/2016,
943557,CAPTAIN,9/28/2018,
957843,POLICE OFFICER,1/7/2015,17099
951805,POLICE OFFICER,1/9/2012,29431
951805,SERGEANT,10/3/2025,2989
976260,POLICE OFFICER,1/17/2023,6104
954122,POLICE OFFICER,1/9/2013,5855
954122,DETECTIVE,6/10/2021,3330
949311,POLICE OFFICER,7/6/2010,12027
949311,DETECTIVE,7/30/2021,3894
982207,POLICE OFFICER,4/30/2025,3417
971136,POLICE OFFICER,2/24/2021,26301
947245,POLICE OFFICER,7/8/2008,5737
947245,DETECTIVE,10/30/2015,669
950870,POLICE OFFICER,7/6/2011,23257
937079,POLICE OFFICER,1/10/2005,8855
969214,POLICE OFFICER,1/6/2020,24812
969214,POLICE OFFICER,4/9/2021,24821
978059,POLICE OFFICER,10/25/2023,31733
939003,POLICE OFFICER,7/11/2005,3807
903009,POLICE OFFICER,1/19/1993,18186
903009,DETECTIVE,1/25/2000,7529
903009,SERGEANT,5/24/2000,3567
903009,LIEUTENANT,7/29/2005,
903009,CAPTAIN,8/27/2010,
903009,DEPUTY INSPECTOR,12/19/2014,
903009,INSPECTOR,12/21/2016,
903009,DEPUTY CHIEF,3/18/2021,
903009,ASSISTANT CHIEF,5/30/2025,
979337,POLICE OFFICER,4/24/2024,19947
968001,POLICE OFFICER,7/1/2019,21212
960604,POLICE OFFICER,1/6/2016,1814
963347,POLICE OFFICER,1/4/2017,24018
963347,DETECTIVE,5/30/2023,2594
966210,POLICE OFFICER,7/2/2018,12978
969971,POLICE OFFICER,11/2/2020,23576
900118,POLICE OFFICER,8/1/1991,28953
974340,POLICE OFFICER,4/13/2022,4131
958913,POLICE OFFICER,7/8/2015,18359
979338,POLICE OFFICER,4/24/2024,17285
939004,POLICE OFFICER,7/11/2005,27950
939004,SERGEANT,10/28/2011,4091
939004,LIEUTENANT,2/9/2022,
939004,LT SPECIAL ASSIGN,6/27/2025,
937080,POLICE OFFICER,1/10/2005,19033
942175,POLICE OFFICER,7/10/2006,27896
942175,SERGEANT,10/7/2019,3934
963158,POLICE OFFICER,1/4/2017,24156
