taxid,rank,date,shield_no
944949,POLICE OFFICER,7/9/2007,17031
944949,DETECTIVE,5/30/2023,2671
954292,POLICE OFFICER,1/9/2013,11064
951172,POLICE OFFICER,7/6/2011,9474
951172,SERGEANT,2/9/2022,3094
935641,POLICE OFFICER,7/1/2004,12674
935641,DETECTIVE,1/28/2011,5898
954293,POLICE OFFICER,1/9/2013,31255
939363,POLICE OFFICER,7/11/2005,20832
939363,DETECTIVE,2/24/2017,7517
939364,POLICE OFFICER,7/11/2005,8950
939364,DETECTIVE,11/24/2020,6656
939364,SERGEANT,7/30/2021,1929
939364,SERGEANT,2/15/2022,1230
952186,POLICE OFFICER,1/9/2012,15016
949026,POLICE OFFICER,7/6/2010,11604
949026,DETECTIVE,4/28/2017,3221
937428,POLICE OFFICER,1/10/2005,31085
937428,DETECTIVE,3/27/2015,5317
943756,POLICE OFFICER,1/10/2007,5859
961200,POLICE OFFICER,1/6/2016,13976
963244,POLICE OFFICER,1/4/2017,23727
982623,POLICE OFFICER,4/30/2025,3462
940669,POLICE OFFICER,1/9/2006,1884
940669,DETECTIVE,3/31/2017,6869
972896,POLICE OFFICER,10/12/2021,3773
935642,POLICE OFFICER,7/1/2004,1482
935642,DETECTIVE,6/10/2021,3544
965850,POLICE OFFICER,4/25/2018,12029
978752,POLICE OFFICER,1/3/2024,13037
957100,POLICE OFFICER,7/9/2014,8122
957100,SERGEANT,5/31/2024,4398
956219,POLICE OFFICER,1/8/2014,5333
956219,DETECTIVE,4/25/2025,527
947946,POLICE OFFICER,1/14/2009,4594
947946,SERGEANT,1/30/2018,83
957101,POLICE OFFICER,7/9/2014,6431
979470,POLICE OFFICER,4/24/2024,8504
911374,POLICE OFFICER,4/1/1995,11283
911374,POLICE OFFICER,8/27/1997,15500
911374,POLICE OFFICER,3/16/2004,5500
911374,DETECTIVE,6/24/2022,5500
949570,POLICE OFFICER,7/6/2010,7107
937429,POLICE OFFICER,1/10/2005,27723
982829,POLICE OFFICER,5/14/2025,23678
978753,POLICE OFFICER,1/3/2024,19217
978753,POLICE OFFICER,1/16/2024,3034
978179,POLICE OFFICER,10/25/2023,288
978179,POLICE OFFICER,12/19/2023,16326
972921,POLICE OFFICER,10/12/2021,8468
958019,POLICE OFFICER,1/7/2015,16084
962062,POLICE OFFICER,7/13/2016,5585
962062,DETECTIVE,5/31/2024,4485
962062,SERGEANT,6/28/2024,5064
980860,POLICE OFFICER,10/30/2024,10937
971208,POLICE OFFICER,2/24/2021,25189
940670,POLICE OFFICER,1/9/2006,18022
940670,DETECTIVE,10/28/2016,5656
940670,DETECTIVE,7/7/2022,876
980167,POLICE OFFICER,7/3/2024,11329
972922,POLICE OFFICER,10/12/2021,9336
964738,POLICE OFFICER,10/18/2017,10476
964738,POLICE OFFICER,3/9/2018,13951
951173,POLICE OFFICER,7/6/2011,28928
979471,POLICE OFFICER,4/24/2024,8996
954294,POLICE OFFICER,1/9/2013,10248
964739,POLICE OFFICER,10/18/2017,6201
964739,SERGEANT,12/22/2023,5541
934130,POLICE OFFICER,1/20/2004,4669
934130,DETECTIVE,9/30/2016,7348
969337,POLICE OFFICER,1/6/2020,28290
964740,POLICE OFFICER,10/18/2017,1108
968104,POLICE OFFICER,7/1/2019,17953
972447,POLICE OFFICER,7/16/2021,17028
962063,POLICE OFFICER,7/13/2016,12923
972219,POLICE OFFICER,7/7/2021,23443
972220,POLICE OFFICER,7/7/2021,28322
951174,POLICE OFFICER,7/6/2011,24590
971209,POLICE OFFICER,2/24/2021,26520
956218,POLICE OFFICER,1/8/2014,8395
969338,POLICE OFFICER,1/6/2020,28951
939367,POLICE OFFICER,7/11/2005,26000
939367,SERGEANT,1/27/2012,4175
