taxid,rank,date,shield_no
953509,POLICE OFFICER,7/11/2012,13236
953509,SERGEANT,5/27/2022,3678
970274,POLICE OFFICER,11/2/2020,25758
945070,POLICE OFFICER,7/9/2007,19481
945070,DETECTIVE,10/28/2016,5675
965581,POLICE OFFICER,1/10/2018,28963
979557,POLICE OFFICER,4/24/2024,5311
947562,POLICE OFFICER,7/8/2008,15332
947562,DETECTIVE,2/26/2015,5420
967372,POLICE OFFICER,1/3/2019,29045
975221,POLICE OFFICER,7/13/2022,18323
977439,POLICE OFFICER,7/5/2023,20015
961398,POLICE OFFICER,1/6/2016,12719
948434,POLICE OFFICER,7/14/2009,26392
948434,SERGEANT,8/30/2016,1095
948434,LIEUTENANT,11/20/2018,
948434,CAPTAIN,1/27/2023,
926236,POLICE OFFICER,3/1/2000,30011
926236,SERGEANT,4/24/2009,2259
962849,POLICE OFFICER,10/11/2016,24715
940819,POLICE OFFICER,1/9/2006,13975
940819,SERGEANT,11/3/2014,4960
940819,SERGEANT,12/29/2017,4959
940819,SGT DET SQUAD,5/31/2024,
945667,POLICE OFFICER,1/7/2008,26682
955609,POLICE OFFICER,7/9/2013,4706
955609,DETECTIVE,4/1/2022,4032
978266,POLICE OFFICER,10/25/2023,12400
951358,POLICE OFFICER,7/6/2011,13731
981949,POLICE OFFICER,1/29/2025,26048
974612,POLICE OFFICER,4/13/2022,7267
980948,POLICE OFFICER,10/30/2024,30576
973003,POLICE OFFICER,10/12/2021,4845
968167,POLICE OFFICER,7/1/2019,19080
946351,POLICE OFFICER,1/7/2008,28576
981951,POLICE OFFICER,1/29/2025,7585
964815,POLICE OFFICER,10/18/2017,7711
956310,POLICE OFFICER,1/8/2014,15259
964325,POLICE OFFICER,7/5/2017,24649
937662,POLICE OFFICER,1/10/2005,20097
948151,POLICE OFFICER,1/14/2009,5793
948151,SERGEANT,6/9/2017,2748
959324,POLICE OFFICER,7/8/2015,19573
959324,DETECTIVE,9/5/2025,4259
914030,POLICE OFFICER,5/1/1995,9947
914030,SERGEANT,1/22/1999,5339
914030,LIEUTENANT,12/20/2002,
914030,CAPTAIN,6/28/2007,
914030,DEPUTY INSPECTOR,1/30/2015,
914030,INSPECTOR,11/21/2017,
914030,DEPUTY CHIEF,12/21/2021,
939621,POLICE OFFICER,7/11/2005,28024
939621,DETECTIVE,6/25/2014,7873
935890,POLICE OFFICER,7/1/2004,22994
935890,DETECTIVE,9/30/2013,2771
959325,POLICE OFFICER,7/8/2015,20801
959325,SERGEANT,9/29/2023,4908
965582,POLICE OFFICER,1/10/2018,30590
954387,POLICE OFFICER,1/9/2013,9567
980246,POLICE OFFICER,7/3/2024,3353
921827,POLICE OFFICER,7/1/1998,8219
921827,SERGEANT,10/26/2007,3861
935891,POLICE OFFICER,7/1/2004,1981
935891,DETECTIVE,11/2/2009,5405
902520,POLICE OFFICER,6/30/1992,12605
960041,POLICE OFFICER,10/7/2015,19422
939622,POLICE OFFICER,7/11/2005,2554
939622,DETECTIVE,6/10/2021,3631
970907,POLICE OFFICER,12/29/2020,5431
978267,POLICE OFFICER,10/25/2023,7645
946625,POLICE OFFICER,7/8/2008,13003
943904,POLICE OFFICER,1/10/2007,14345
945071,POLICE OFFICER,7/9/2007,17036
957238,POLICE OFFICER,7/9/2014,13541
935892,POLICE OFFICER,7/1/2004,10517
948517,POLICE OFFICER,1/11/2010,5406
948517,DETECTIVE,6/24/2022,6185
933433,POLICE OFFICER,7/1/2003,18083
933433,DETECTIVE,11/2/2009,5064
939623,POLICE OFFICER,7/11/2005,19660
939623,DETECTIVE,6/27/2025,7920
955611,POLICE OFFICER,7/9/2013,8804
974613,POLICE OFFICER,4/13/2022,14668
951721,POLICE OFFICER,1/9/2012,14903
951721,POLICE OFFICER,5/29/2013,19616
951721,SERGEANT,11/24/2020,5432
939624,POLICE OFFICER,7/11/2005,11884
939624,SERGEANT,12/23/2010,5432
939624,LIEUTENANT,9/28/2018,
954388,POLICE OFFICER,1/9/2013,30492
943905,POLICE OFFICER,1/10/2007,18281
943905,DETECTIVE,12/23/2013,4885
968857,POLICE OFFICER,10/7/2019,11210
947671,POLICE OFFICER,7/8/2008,3957
947671,DETECTIVE,11/3/2014,1735
947671,SERGEANT,11/22/2016,2737
947671,LIEUTENANT,1/29/2021,
947671,LT DET COMMANDER,12/22/2023,
955612,POLICE OFFICER,7/9/2013,31892
972296,POLICE OFFICER,7/7/2021,27605
959326,POLICE OFFICER,7/8/2015,9953
953511,POLICE OFFICER,7/11/2012,31707
953511,DETECTIVE,6/30/2023,4648
946720,POLICE OFFICER,7/8/2008,18705
946720,SERGEANT,11/24/2015,2151
946720,LIEUTENANT,2/24/2023,
959327,POLICE OFFICER,7/8/2015,17916
973819,POLICE OFFICER,12/29/2021,25311
973820,POLICE OFFICER,12/29/2021,30514
981952,POLICE OFFICER,1/29/2025,8701
947564,POLICE OFFICER,7/8/2008,759
947564,DETECTIVE,2/24/2017,6530
947564,SERGEANT,12/19/2019,5179
971717,POLICE OFFICER,4/28/2021,17293
