taxid,rank,date,shield_no
951589,POLICE OFFICER,1/9/2012,4312
951589,SERGEANT,1/30/2018,3917
951589,LIEUTENANT,1/26/2024,
946450,POLICE OFFICER,1/7/2008,25481
963898,POLICE OFFICER,7/5/2017,17428
974778,POLICE OFFICER,7/13/2022,21431
974778,POLICE OFFICER,6/16/2023,8995
936298,POLICE OFFICER,1/10/2005,7479
936298,POLICE OFFICER,6/26/2007,8003
936298,POLICE OFFICER,9/6/2016,104
936298,DETECTIVE,2/24/2017,1229
971357,POLICE OFFICER,4/28/2021,19007
966493,POLICE OFFICER,10/24/2018,2534
955784,POLICE OFFICER,1/8/2014,13644
955784,DETECTIVE,11/27/2024,3397
954601,POLICE OFFICER,7/9/2013,9330
955785,POLICE OFFICER,1/8/2014,3885
955785,SERGEANT,10/18/2021,2806
939115,POLICE OFFICER,7/11/2005,10234
939115,DETECTIVE,3/28/2014,5196
933673,POLICE OFFICER,1/20/2004,26920
972554,POLICE OFFICER,10/12/2021,8729
939972,POLICE OFFICER,1/9/2006,4117
939972,SERGEANT,1/30/2018,3921
949845,POLICE OFFICER,7/6/2011,17311
949845,DETECTIVE,12/23/2024,7071
939943,POLICE OFFICER,1/9/2006,28179
926410,POLICE OFFICER,9/29/2000,827
926410,SERGEANT,10/26/2007,4444
941498,POLICE OFFICER,7/10/2006,12202
941498,SERGEANT,2/28/2014,1141
941498,LIEUTENANT,8/1/2016,
968077,POLICE OFFICER,7/1/2019,19885
967443,POLICE OFFICER,4/15/2019,1056
958368,POLICE OFFICER,7/8/2015,5820
938613,POLICE OFFICER,7/11/2005,7414
932412,POLICE OFFICER,7/1/2003,19735
932412,SERGEANT,7/25/2008,1267
932412,LIEUTENANT,8/30/2012,
932412,LT SPECIAL ASSIGN,3/28/2025,
952545,POLICE OFFICER,7/11/2012,21893
952545,SERGEANT,10/31/2023,4947
950158,POLICE OFFICER,7/6/2011,22016
950158,DETECTIVE,8/30/2019,2103
950158,SERGEANT,11/24/2020,3313
967799,POLICE OFFICER,7/1/2019,21173
962971,POLICE OFFICER,1/4/2017,24837
933491,POLICE OFFICER,7/1/2003,30650
933491,SERGEANT,10/7/2019,3321
932413,POLICE OFFICER,7/1/2003,26346
932413,SERGEANT,12/22/2020,1150
976018,POLICE OFFICER,1/17/2023,470
963432,POLICE OFFICER,4/12/2017,4908
940979,POLICE OFFICER,1/9/2006,22714
940979,SERGEANT,7/30/2021,2192
965967,POLICE OFFICER,7/2/2018,10725
965967,SERGEANT,6/28/2024,4590
978428,POLICE OFFICER,1/3/2024,7926
952339,POLICE OFFICER,1/9/2012,20978
952339,DETECTIVE,7/30/2021,3989
972555,POLICE OFFICER,10/12/2021,388
981130,POLICE OFFICER,1/29/2025,16580
970440,POLICE OFFICER,12/29/2020,12118
946824,POLICE OFFICER,7/8/2008,13348
946824,DETECTIVE,11/3/2014,171
946824,SERGEANT,6/28/2019,333
946824,LIEUTENANT,5/30/2025,
943047,POLICE OFFICER,1/10/2007,6356
943047,DETECTIVE,3/5/2019,1685
948082,POLICE OFFICER,1/14/2009,7371
945552,POLICE OFFICER,1/7/2008,24496
945552,DETECTIVE,7/28/2014,2615
945552,POLICE OFFICER,1/25/2017,24423
945552,DETECTIVE,6/18/2019,2615
945553,POLICE OFFICER,1/7/2008,25729
