taxid,rank,date,shield_no
954723,DETECTIVE,6/10/2021,5150
964363,POLICE OFFICER,10/18/2017,1274
918933,POLICE OFFICER,4/15/1997,25030
938355,POLICE OFFICER,7/11/2005,4595
944499,POLICE OFFICER,7/9/2007,6575
963956,POLICE OFFICER,7/5/2017,21026
963956,DETECTIVE,8/26/2022,6694
936471,POLICE OFFICER,1/10/2005,20947
936471,SERGEANT,10/26/2012,2370
936471,LIEUTENANT,9/3/2021,
936471,LT SPECIAL ASSIGN,6/28/2024,
936471,LT DET COMMANDER,10/25/2024,
960451,POLICE OFFICER,1/6/2016,3899
960451,DETECTIVE,2/23/2024,4933
981217,POLICE OFFICER,1/29/2025,25716
979627,POLICE OFFICER,5/8/2024,16539
977854,POLICE OFFICER,10/25/2023,12443
977854,POLICE OFFICER,3/28/2024,12769
981231,POLICE OFFICER,1/29/2025,5009
954724,POLICE OFFICER,7/9/2013,16456
954724,SERGEANT,7/27/2018,1249
954724,LIEUTENANT,1/26/2024,
922241,POLICE OFFICER,8/31/1998,31784
922241,SERGEANT,11/30/2005,452
972604,POLICE OFFICER,10/12/2021,2241
948873,POLICE OFFICER,7/6/2010,4400
948873,DETECTIVE,11/26/2013,3775
938330,POLICE OFFICER,7/11/2005,26241
938330,DETECTIVE,2/24/2017,813
976081,POLICE OFFICER,1/17/2023,474
974055,POLICE OFFICER,4/13/2022,12773
969045,POLICE OFFICER,1/6/2020,5011
941650,POLICE OFFICER,7/10/2006,1764
941650,SERGEANT,8/30/2012,2182
941650,LIEUTENANT,11/22/2016,
941650,CAPTAIN,7/30/2021,
977510,POLICE OFFICER,7/19/2023,22587
969511,POLICE OFFICER,11/2/2020,15022
969647,POLICE OFFICER,11/2/2020,24758
981232,POLICE OFFICER,1/29/2025,6460
981232,POLICE OFFICER,7/30/2025,1627
946917,POLICE OFFICER,7/8/2008,14560
946917,DETECTIVE,6/10/2021,2647
971902,POLICE OFFICER,7/7/2021,28084
937903,POLICE OFFICER,7/11/2005,14421
922242,POLICE OFFICER,8/31/1998,15840
922242,POLICE OFFICER,10/27/1998,25100
922242,DETECTIVE,3/22/2002,432
946918,POLICE OFFICER,7/8/2008,6310
981233,POLICE OFFICER,1/29/2025,7957
938331,POLICE OFFICER,7/11/2005,12228
938331,POLICE OFFICER,3/26/2008,6394
938331,SERGEANT,9/28/2015,1375
938331,POLICE OFFICER,12/10/2018,15542
974056,POLICE OFFICER,4/13/2022,10490
968753,POLICE OFFICER,10/7/2019,22282
952668,POLICE OFFICER,7/11/2012,22850
952668,SERGEANT,9/29/2023,4713
971903,POLICE OFFICER,7/7/2021,28365
957533,POLICE OFFICER,1/7/2015,26830
957533,DETECTIVE,7/30/2021,4134
950311,POLICE OFFICER,7/6/2011,27759
950311,DETECTIVE,5/30/2023,71
922243,POLICE OFFICER,8/31/1998,15289
922243,POLICE OFFICER,10/17/2014,295
922243,DETECTIVE,10/28/2016,5463
938356,POLICE OFFICER,7/11/2005,8714
938356,SERGEANT,9/30/2016,1276
963006,POLICE OFFICER,1/4/2017,21637
963006,SERGEANT,11/27/2024,327
944052,POLICE OFFICER,1/10/2007,15516
944052,DETECTIVE,11/24/2020,4321
950312,POLICE OFFICER,7/6/2011,24824
977855,POLICE OFFICER,10/25/2023,13009
971036,POLICE OFFICER,2/24/2021,25517
964485,POLICE OFFICER,10/18/2017,11044
976082,POLICE OFFICER,1/17/2023,11760
971402,POLICE OFFICER,4/28/2021,19149
945648,POLICE OFFICER,1/7/2008,13827
938332,POLICE OFFICER,7/11/2005,30890
938332,SERGEANT,6/26/2015,5063
958494,POLICE OFFICER,7/8/2015,21026
958494,POLICE OFFICER,10/6/2015,1870
953815,POLICE OFFICER,1/9/2013,11498
948875,POLICE OFFICER,7/6/2010,1794
967840,POLICE OFFICER,7/1/2019,19183
936472,POLICE OFFICER,1/10/2005,24529
960452,POLICE OFFICER,1/6/2016,549
948014,POLICE OFFICER,1/14/2009,7413
980487,POLICE OFFICER,10/30/2024,18528
931631,POLICE OFFICER,7/1/2002,20035
931631,SERGEANT,3/26/2010,2706
931631,LIEUTENANT,3/18/2021,
961725,POLICE OFFICER,7/13/2016,2106
959593,POLICE OFFICER,10/7/2015,19448
922248,POLICE OFFICER,8/31/1998,31330
961726,POLICE OFFICER,7/13/2016,3631
934751,POLICE OFFICER,7/1/2004,28299
934751,DETECTIVE,3/1/2013,290
934751,POLICE OFFICER,10/21/2014,28296
951183,POLICE OFFICER,7/6/2011,5524
951183,POLICE OFFICER,5/27/2016,31417
951183,DETECTIVE,8/22/2017,1166
951183,SERGEANT,2/9/2022,1546
974057,POLICE OFFICER,4/13/2022,10801
953816,POLICE OFFICER,1/9/2013,28505
953816,DETECTIVE,12/21/2021,5044
953816,SERGEANT,2/9/2022,1571
943721,POLICE OFFICER,1/10/2007,11656
946920,POLICE OFFICER,7/8/2008,1870
946920,SERGEANT,9/28/2015,696
936473,POLICE OFFICER,1/10/2005,13351
936473,DETECTIVE,6/10/2021,2648
945663,POLICE OFFICER,1/7/2008,26761
945663,DETECTIVE,12/21/2016,5887
946921,POLICE OFFICER,7/8/2008,13709
953817,POLICE OFFICER,1/9/2013,30765
953817,SERGEANT,11/22/2022,567
936578,POLICE OFFICER,1/10/2005,16241
936578,SERGEANT,10/28/2011,3672
936578,SGT DET SQUAD,12/18/2015,
982780,POLICE OFFICER,5/14/2025,6086
958495,POLICE OFFICER,7/8/2015,6317
958495,DETECTIVE,6/10/2021,2659
946922,POLICE OFFICER,7/8/2008,11704
946922,DETECTIVE,11/20/2018,1221
931632,POLICE OFFICER,7/1/2002,10986
956586,POLICE OFFICER,7/9/2014,15309
937815,POLICE OFFICER,7/11/2005,3666
935757,POLICE OFFICER,7/1/2004,24050
935757,DETECTIVE,9/30/2024,5853
955598,POLICE OFFICER,7/9/2013,11793
948200,POLICE OFFICER,7/14/2009,25695
931633,POLICE OFFICER,7/1/2002,4969
931633,SERGEANT,9/29/2008,3064
931633,SGT DET SQUAD,1/30/2015,
931633,LIEUTENANT,10/18/2021,
969649,POLICE OFFICER,11/2/2020,22985
982232,POLICE OFFICER,4/30/2025,22741
966028,POLICE OFFICER,7/2/2018,3138
971403,POLICE OFFICER,4/28/2021,16841
945176,POLICE OFFICER,7/9/2007,20235
945176,SERGEANT,2/23/2024,2332
953818,POLICE OFFICER,1/9/2013,30817
979814,POLICE OFFICER,7/3/2024,14352
981234,POLICE OFFICER,1/29/2025,9050
982014,POLICE OFFICER,2/3/2025,17380
950317,POLICE OFFICER,7/6/2011,9221
948876,POLICE OFFICER,7/6/2010,1095
948876,SERGEANT,12/17/2015,3458
948876,LIEUTENANT,6/29/2018,
954726,POLICE OFFICER,7/9/2013,2001
954726,DETECTIVE,4/26/2024,170
944053,POLICE OFFICER,1/10/2007,16190
944053,SERGEANT,3/12/2013,1808
944053,LIEUTENANT,12/21/2016,
944053,CAPTAIN,9/3/2021,
944053,DEPUTY INSPECTOR,10/25/2024,
982027,POLICE OFFICER,2/6/2025,12333
951677,POLICE OFFICER,1/9/2012,8572
979823,POLICE OFFICER,7/3/2024,14564
976635,POLICE OFFICER,4/26/2023,15760
975433,POLICE OFFICER,10/19/2022,14781
946923,POLICE OFFICER,7/8/2008,4047
957535,POLICE OFFICER,1/7/2015,16233
957535,SERGEANT,4/4/2024,2098
962357,POLICE OFFICER,10/11/2016,22279
954727,POLICE OFFICER,7/9/2013,7166
954727,DETECTIVE,2/9/2022,1249
941655,POLICE OFFICER,7/10/2006,12333
941655,SERGEANT,11/24/2020,3914
963485,POLICE OFFICER,4/12/2017,8095
963485,SERGEANT,6/30/2023,2833
980488,POLICE OFFICER,10/30/2024,21747
