taxid,rank,date,shield_no
960490,SERGEANT,11/21/2023,5111
944529,POLICE OFFICER,7/9/2007,15558
932593,POLICE OFFICER,7/1/2003,26392
932593,SERGEANT,7/25/2008,1791
932593,LIEUTENANT,10/30/2015,
932593,CAPTAIN,8/31/2018,
932593,DEPUTY INSPECTOR,12/21/2021,
932593,INSPECTOR,12/22/2023,
932593,DEPUTY CHIEF,9/5/2025,
980305,POLICE OFFICER,7/19/2024,16014
970500,POLICE OFFICER,12/29/2020,25238
970500,POLICE OFFICER,2/3/2021,20645
953837,POLICE OFFICER,1/9/2013,24278
953837,DETECTIVE,4/1/2022,2980
953837,SERGEANT,9/30/2022,3360
952704,POLICE OFFICER,7/11/2012,13634
952704,DETECTIVE,2/9/2022,6884
945686,POLICE OFFICER,1/7/2008,23745
945686,SERGEANT,5/27/2022,4141
974079,POLICE OFFICER,4/13/2022,13620
950370,POLICE OFFICER,7/6/2011,9840
950370,SERGEANT,2/9/2022,1659
948332,POLICE OFFICER,7/14/2009,25223
948332,SERGEANT,7/28/2017,100
948332,LIEUTENANT,6/24/2022,
974685,POLICE OFFICER,4/18/2022,5482
938420,POLICE OFFICER,7/11/2005,9166
938420,SERGEANT,2/25/2011,2809
938420,LIEUTENANT,1/30/2015,
938420,LT SPECIAL ASSIGN,5/7/2018,
938420,LT DET COMMANDER,6/10/2019,
951604,POLICE OFFICER,1/9/2012,13814
951604,DETECTIVE,4/1/2022,314
966553,POLICE OFFICER,10/24/2018,7437
948927,POLICE OFFICER,7/6/2010,8932
948927,DETECTIVE,10/31/2017,4338
978481,POLICE OFFICER,1/3/2024,19304
978481,POLICE OFFICER,1/16/2024,4097
949129,POLICE OFFICER,7/6/2010,5653
936544,POLICE OFFICER,1/10/2005,27771
936544,SERGEANT,3/28/2013,3692
936544,SGT DET SQUAD,9/30/2022,
921313,POLICE OFFICER,7/1/1998,29062
921313,SERGEANT,5/26/2006,1287
958544,POLICE OFFICER,7/8/2015,17491
958544,SERGEANT,4/26/2024,3553
967857,POLICE OFFICER,7/1/2019,15424
971418,POLICE OFFICER,4/28/2021,19187
971418,POLICE OFFICER,9/15/2021,25098
976103,POLICE OFFICER,1/17/2023,482
950371,POLICE OFFICER,7/6/2011,24253
950371,DETECTIVE,4/1/2022,3465
951705,POLICE OFFICER,1/9/2012,1573
977515,POLICE OFFICER,7/19/2023,15034
976950,POLICE OFFICER,5/10/2023,19591
956617,POLICE OFFICER,7/9/2014,14288
956617,SERGEANT,4/26/2024,3595
972621,POLICE OFFICER,10/12/2021,1781
974041,POLICE OFFICER,4/13/2022,14426
977705,POLICE OFFICER,8/16/2023,18052
957561,POLICE OFFICER,1/7/2015,16366
957561,DETECTIVE,11/22/2022,1735
976646,POLICE OFFICER,4/26/2023,25533
932594,POLICE OFFICER,7/1/2003,26864
932594,DETECTIVE,6/29/2012,1418
935336,POLICE OFFICER,7/1/2004,14190
936545,POLICE OFFICER,1/10/2005,28873
936545,SERGEANT,6/24/2011,2160
955021,POLICE OFFICER,7/9/2013,28075
950372,POLICE OFFICER,7/6/2011,29317
950372,DETECTIVE,12/23/2024,2075
924351,POLICE OFFICER,7/7/1999,16357
924351,SERGEANT,4/29/2005,1980
924351,LIEUTENANT,12/23/2008,
924351,CAPTAIN,11/25/2014,
924351,DEPUTY INSPECTOR,5/3/2019,
924351,INSPECTOR,6/10/2021,
924351,DEPUTY CHIEF,1/27/2023,
924351,ASSISTANT CHIEF,10/23/2024,
948929,POLICE OFFICER,7/6/2010,6776
951707,POLICE OFFICER,1/9/2012,4452
940122,POLICE OFFICER,1/9/2006,10715
949934,POLICE OFFICER,7/6/2011,20279
949934,DETECTIVE,11/26/2019,2968
928239,POLICE OFFICER,7/2/2001,3602
981264,POLICE OFFICER,1/29/2025,28328
941701,POLICE OFFICER,7/10/2006,23706
941701,SERGEANT,9/30/2013,4435
941701,SERGEANT,12/18/2024,5640
945690,POLICE OFFICER,1/7/2008,12481
967493,POLICE OFFICER,4/15/2019,13449
944531,POLICE OFFICER,7/9/2007,19961
944532,POLICE OFFICER,7/9/2007,7701
951708,POLICE OFFICER,1/9/2012,12631
951708,SERGEANT,2/9/2022,1682
914352,POLICE OFFICER,5/1/1995,6499
914352,SERGEANT,8/24/2001,958
914352,LIEUTENANT,3/30/2007,
914352,LT DET COMMANDER,4/30/2020,
914352,LT SPECIAL ASSIGN,6/2/2023,
926798,POLICE OFFICER,9/29/2000,21996
926798,DETECTIVE,4/24/2009,1200
926798,SERGEANT,3/28/2013,3699
926798,SERGEANT,12/9/2024,3334
941007,POLICE OFFICER,1/9/2006,24388
941007,SERGEANT,10/25/2013,794
941007,LIEUTENANT,9/28/2018,
941007,CAPTAIN,5/30/2023,
945150,POLICE OFFICER,7/9/2007,10989
945150,DETECTIVE,11/21/2017,1875
938422,POLICE OFFICER,7/11/2005,1274
938422,DETECTIVE,2/24/2017,7132
981265,POLICE OFFICER,1/29/2025,7994
965067,POLICE OFFICER,1/10/2018,19361
965067,POLICE OFFICER,9/9/2020,20584
963022,POLICE OFFICER,1/4/2017,24366
963022,DETECTIVE,6/27/2025,7957
967858,POLICE OFFICER,7/1/2019,19594
928240,POLICE OFFICER,7/2/2001,5170
928240,POLICE OFFICER,1/26/2007,1255
954764,POLICE OFFICER,7/9/2013,22776
967859,POLICE OFFICER,7/1/2019,15107
948019,POLICE OFFICER,1/14/2009,8993
948019,SERGEANT,9/3/2021,1988
948019,SGT DET SQUAD,5/31/2024,
958546,POLICE OFFICER,7/8/2015,19970
971419,POLICE OFFICER,4/28/2021,9064
982254,POLICE OFFICER,4/30/2025,30981
972622,POLICE OFFICER,10/12/2021,7448
974082,POLICE OFFICER,4/13/2022,3959
947909,POLICE OFFICER,1/14/2009,7479
947909,SERGEANT,12/22/2023,5392
974081,POLICE OFFICER,4/13/2022,13045
976951,POLICE OFFICER,5/10/2023,27780
960494,POLICE OFFICER,1/6/2016,5255
973372,POLICE OFFICER,12/29/2021,26720
971919,POLICE OFFICER,7/7/2021,16800
974083,POLICE OFFICER,4/13/2022,2562
944533,POLICE OFFICER,7/9/2007,10399
979147,POLICE OFFICER,4/24/2024,8682
980509,POLICE OFFICER,10/30/2024,13592
