taxid,rank,date,shield_no
980220,POLICE OFFICER,7/3/2024,12620
937603,POLICE OFFICER,1/10/2005,2112
937603,DETECTIVE,1/28/2016,1825
962828,POLICE OFFICER,10/11/2016,2112
977424,POLICE OFFICER,7/5/2023,28774
956291,POLICE OFFICER,1/8/2014,10871
956291,SERGEANT,4/4/2024,4049
951318,POLICE OFFICER,7/6/2011,22486
951318,DETECTIVE,8/26/2022,6913
954362,POLICE OFFICER,1/9/2013,6167
934213,POLICE OFFICER,1/20/2004,20162
934213,SERGEANT,11/3/2014,4951
966877,POLICE OFFICER,10/24/2018,4723
966877,DETECTIVE,5/30/2023,2747
980927,POLICE OFFICER,10/30/2024,16399
980221,POLICE OFFICER,7/3/2024,11423
981697,POLICE OFFICER,1/29/2025,8394
964308,POLICE OFFICER,7/5/2017,22866
961348,POLICE OFFICER,1/6/2016,12256
929237,POLICE OFFICER,7/2/2001,16261
929237,SERGEANT,3/26/2010,2216
929237,SGT DET SQUAD,3/18/2021,
942595,POLICE OFFICER,7/10/2006,10000
968832,POLICE OFFICER,10/7/2019,18634
972279,POLICE OFFICER,7/7/2021,23940
933400,POLICE OFFICER,7/1/2003,2204
933400,DETECTIVE,1/29/2021,2356
976557,POLICE OFFICER,1/31/2023,8840
970251,POLICE OFFICER,11/2/2020,25453
939552,POLICE OFFICER,7/11/2005,11843
939552,DETECTIVE,4/24/2015,4843
974581,POLICE OFFICER,4/13/2022,11012
968152,POLICE OFFICER,7/1/2019,19407
982696,POLICE OFFICER,4/30/2025,21281
968153,POLICE OFFICER,7/1/2019,18808
924537,POLICE OFFICER,7/7/1999,192
924537,DETECTIVE,10/31/2008,4716
924537,SERGEANT,11/25/2008,2589
924537,SERGEANT,7/22/2009,1061
924537,LIEUTENANT,8/1/2016,
924537,LT DET COMMANDER,12/21/2021,
966878,POLICE OFFICER,10/24/2018,15984
949713,POLICE OFFICER,7/6/2010,15701
949713,SERGEANT,10/28/2016,4613
949713,LIEUTENANT,7/21/2022,
968154,POLICE OFFICER,7/12/2019,19419
968154,DETECTIVE,6/27/2025,7914
942596,POLICE OFFICER,7/10/2006,7980
942596,DETECTIVE,11/21/2023,6668
945044,POLICE OFFICER,7/9/2007,1016
945044,SERGEANT,6/24/2022,4535
955559,POLICE OFFICER,7/9/2013,16873
964796,POLICE OFFICER,10/18/2017,1137
977425,POLICE OFFICER,7/5/2023,14376
982697,POLICE OFFICER,4/30/2025,30134
981916,POLICE OFFICER,1/29/2025,663
979537,POLICE OFFICER,4/24/2024,2043
964309,POLICE OFFICER,7/5/2017,17134
972426,POLICE OFFICER,7/13/2021,28571
964499,POLICE OFFICER,10/18/2017,6951
957204,POLICE OFFICER,7/9/2014,15187
957204,SERGEANT,2/23/2024,2661
939553,POLICE OFFICER,7/11/2005,31728
976876,POLICE OFFICER,4/26/2023,17712
956292,POLICE OFFICER,1/8/2014,13835
974582,POLICE OFFICER,4/13/2022,11364
953466,POLICE OFFICER,7/11/2012,29659
953466,DETECTIVE,6/10/2021,3526
953466,SERGEANT,7/30/2021,1985
952278,POLICE OFFICER,1/9/2012,19656
961350,POLICE OFFICER,1/6/2016,14370
933401,POLICE OFFICER,7/1/2003,23860
933401,SERGEANT,12/17/2015,3691
933401,LIEUTENANT,8/30/2019,
973797,POLICE OFFICER,12/29/2021,25294
942597,POLICE OFFICER,7/10/2006,2760
942597,DETECTIVE,6/28/2024,7338
949714,POLICE OFFICER,7/6/2010,3902
949714,DETECTIVE,11/21/2017,3902
975205,POLICE OFFICER,7/13/2022,25783
975206,POLICE OFFICER,7/13/2022,26707
975206,POLICE OFFICER,4/10/2025,26715
975845,POLICE OFFICER,10/19/2022,16590
962829,POLICE OFFICER,10/11/2016,1565
962829,DETECTIVE,6/24/2022,5950
978246,POLICE OFFICER,10/25/2023,13790
978246,POLICE OFFICER,2/15/2024,1565
951322,POLICE OFFICER,7/6/2011,13648
935824,POLICE OFFICER,7/1/2004,2836
948706,POLICE OFFICER,7/6/2010,11078
948706,POLICE OFFICER,11/9/2011,13435
948706,SERGEANT,4/28/2017,580
948706,SERGEANT,5/23/2017,1499
948706,LIEUTENANT,3/31/2023,
924538,POLICE OFFICER,7/7/1999,10513
924538,SERGEANT,5/30/2008,2110
924538,SGT DET SQUAD,6/29/2012,
968833,POLICE OFFICER,10/7/2019,27610
978801,POLICE OFFICER,1/3/2024,20440
978801,POLICE OFFICER,1/25/2024,7870
976877,POLICE OFFICER,4/26/2023,31107
977677,POLICE OFFICER,7/19/2023,28793
972280,POLICE OFFICER,7/7/2021,28334
970253,POLICE OFFICER,11/2/2020,24912
974583,POLICE OFFICER,4/13/2022,11021
937606,POLICE OFFICER,1/10/2005,29284
960015,POLICE OFFICER,10/7/2015,22075
982698,POLICE OFFICER,4/30/2025,31481
977426,POLICE OFFICER,7/5/2023,26969
980222,POLICE OFFICER,7/3/2024,18033
980928,POLICE OFFICER,10/30/2024,14893
972479,POLICE OFFICER,7/21/2021,26067
968834,POLICE OFFICER,10/7/2019,7207
942598,POLICE OFFICER,7/10/2006,12035
942598,SERGEANT,5/3/2019,4916
927576,POLICE OFFICER,9/29/2000,14928
927576,SERGEANT,4/24/2009,2251
927576,SGT DET SQUAD,5/8/2017,
975846,POLICE OFFICER,10/19/2022,15474
955562,POLICE OFFICER,7/9/2013,6740
949715,POLICE OFFICER,7/6/2010,12095
949715,DETECTIVE,11/21/2017,3639
980223,POLICE OFFICER,7/3/2024,626
905151,POLICE OFFICER,8/30/1993,11918
905151,SERGEANT,1/22/1999,5334
905151,LIEUTENANT,3/22/2002,
905151,CAPTAIN,2/29/2008,
961351,POLICE OFFICER,1/6/2016,3643
966359,POLICE OFFICER,7/2/2018,13446
964797,POLICE OFFICER,10/18/2017,2831
978802,POLICE OFFICER,1/3/2024,20842
979538,POLICE OFFICER,4/24/2024,9827
976428,POLICE OFFICER,1/17/2023,12185
974584,POLICE OFFICER,4/13/2022,11925
975207,POLICE OFFICER,7/13/2022,27534
940791,POLICE OFFICER,1/9/2006,4020
940791,DETECTIVE,3/2/2015,4701
957205,POLICE OFFICER,7/9/2014,12202
957205,SERGEANT,7/28/2023,1938
947533,POLICE OFFICER,7/8/2008,8042
947533,SERGEANT,11/24/2015,2449
947533,LIEUTENANT,6/28/2019,
964798,POLICE OFFICER,10/18/2017,1154
964798,POLICE OFFICER,2/5/2025,9033
963772,POLICE OFFICER,4/12/2017,13499
943859,POLICE OFFICER,1/10/2007,5908
969386,POLICE OFFICER,1/6/2020,8065
975284,POLICE OFFICER,7/15/2022,22916
974585,POLICE OFFICER,4/13/2022,28433
962127,POLICE OFFICER,7/13/2016,3487
982699,POLICE OFFICER,4/30/2025,3291
982699,POLICE OFFICER,9/4/2025,2843
979539,POLICE OFFICER,4/24/2024,31324
979539,POLICE OFFICER,6/20/2024,1764
