taxid,rank,date,shield_no
906423,POLICE OFFICER,2/28/1994,7767
906423,SERGEANT,6/28/2002,3928
906423,LIEUTENANT,11/2/2009,
906423,CAPTAIN,4/26/2013,
906423,DEPUTY INSPECTOR,6/28/2019,
950564,POLICE OFFICER,7/6/2011,19734
950564,SERGEANT,12/22/2023,5411
948551,POLICE OFFICER,1/11/2010,4800
924670,POLICE OFFICER,7/7/1999,829
924670,SERGEANT,11/30/2005,849
924670,LIEUTENANT,11/2/2009,
924670,LT DET COMMANDER,10/26/2012,
947065,POLICE OFFICER,7/8/2008,19180
947065,SERGEANT,2/24/2017,1570
947065,LIEUTENANT,5/3/2019,
951810,POLICE OFFICER,1/9/2012,18340
904121,POLICE OFFICER,8/30/1993,7217
904121,PO SPECIAL ASSIGN,7/1/1998,
904121,DETECTIVE,7/28/1999,6853
904121,SERGEANT,5/24/2000,1106
904121,LIEUTENANT,11/25/2003,
904121,CAPTAIN,2/29/2008,
904121,DEPUTY INSPECTOR,8/2/2011,
904121,INSPECTOR,3/2/2015,
904121,DEPUTY CHIEF,12/22/2017,
904121,ASSISTANT CHIEF,1/12/2023,
956724,POLICE OFFICER,7/9/2014,7677
956724,DETECTIVE,5/30/2023,4300
956724,SERGEANT,4/4/2024,996
941142,POLICE OFFICER,1/9/2006,26047
954918,POLICE OFFICER,7/9/2013,11290
954918,SERGEANT,12/21/2018,2674
954918,LIEUTENANT,3/28/2025,
976700,POLICE OFFICER,4/26/2023,30037
976700,POLICE OFFICER,10/6/2023,15365
947900,POLICE OFFICER,1/14/2009,6218
957661,POLICE OFFICER,1/7/2015,15572
949089,POLICE OFFICER,7/6/2010,4809
954919,POLICE OFFICER,7/9/2013,7285
960638,POLICE OFFICER,1/6/2016,5295
976701,POLICE OFFICER,4/26/2023,20838
981378,POLICE OFFICER,1/29/2025,25766
940239,POLICE OFFICER,1/9/2006,18195
950565,POLICE OFFICER,7/6/2011,24914
950565,SERGEANT,8/26/2022,5101
945806,POLICE OFFICER,1/7/2008,17947
938641,POLICE OFFICER,7/11/2005,7539
938641,SERGEANT,1/27/2012,3141
936739,POLICE OFFICER,1/10/2005,9810
936739,DETECTIVE,12/19/2014,4215
975520,POLICE OFFICER,10/19/2022,5623
972685,POLICE OFFICER,10/12/2021,4262
950567,POLICE OFFICER,7/6/2011,23950
894687,POLICE OFFICER,1/1/1990,21405
894687,DETECTIVE,7/30/1999,6404
950568,POLICE OFFICER,7/6/2011,9944
950568,DETECTIVE,7/27/2018,2017
960639,POLICE OFFICER,1/6/2016,7331
925430,POLICE OFFICER,3/1/2000,2199
925430,DETECTIVE,1/26/2007,5723
943357,POLICE OFFICER,1/10/2007,12562
943357,SERGEANT,5/3/2019,4587
977177,POLICE OFFICER,7/5/2023,13536
967917,POLICE OFFICER,7/1/2019,13818
926934,POLICE OFFICER,9/29/2000,25302
926934,DETECTIVE,8/3/2012,5953
943972,POLICE OFFICER,1/10/2007,17575
943972,DETECTIVE,5/27/2022,5368
945807,POLICE OFFICER,1/7/2008,26494
945807,SERGEANT,1/30/2018,4011
970586,POLICE OFFICER,12/29/2020,10567
971470,POLICE OFFICER,4/28/2021,13481
977946,POLICE OFFICER,10/25/2023,16142
977178,POLICE OFFICER,7/5/2023,15687
975521,POLICE OFFICER,10/19/2022,11617
961807,POLICE OFFICER,7/13/2016,9559
965743,POLICE OFFICER,4/25/2018,11940
965743,SERGEANT,7/31/2024,395
965744,POLICE OFFICER,4/25/2018,5036
970587,POLICE OFFICER,12/29/2020,11362
977543,POLICE OFFICER,7/19/2023,22681
978537,POLICE OFFICER,1/3/2024,20803
978537,POLICE OFFICER,1/25/2024,16333
979920,POLICE OFFICER,7/3/2024,19271
957662,POLICE OFFICER,1/7/2015,9908
957662,POLICE OFFICER,6/13/2017,21234
971087,POLICE OFFICER,2/24/2021,23004
960640,POLICE OFFICER,1/6/2016,6654
969775,POLICE OFFICER,11/2/2020,18976
971088,POLICE OFFICER,2/24/2021,24087
966614,POLICE OFFICER,10/24/2018,16244
957663,POLICE OFFICER,1/7/2015,15767
964545,POLICE OFFICER,10/18/2017,4678
964546,POLICE OFFICER,10/18/2017,5238
957664,POLICE OFFICER,1/7/2015,17079
957664,DETECTIVE,4/1/2022,3077
956726,POLICE OFFICER,7/9/2014,11272
956726,DETECTIVE,5/30/2025,7839
950570,POLICE OFFICER,7/6/2011,5845
950570,SERGEANT,2/9/2022,1997
955975,POLICE OFFICER,1/8/2014,13039
955975,DETECTIVE,8/30/2019,2135
952835,POLICE OFFICER,7/11/2012,18293
952835,SERGEANT,6/5/2018,3181
952835,LIEUTENANT,7/31/2024,
953953,POLICE OFFICER,1/9/2013,27534
953953,DETECTIVE,12/21/2021,5114
976523,POLICE OFFICER,1/31/2023,6068
964547,POLICE OFFICER,10/18/2017,1612
964547,SERGEANT,11/27/2024,541
947768,POLICE OFFICER,7/8/2008,9131
947768,DETECTIVE,6/28/2019,199
947768,SERGEANT,5/31/2024,22
975522,POLICE OFFICER,10/19/2022,14805
971988,POLICE OFFICER,7/7/2021,27446
954920,POLICE OFFICER,7/9/2013,5339
966098,POLICE OFFICER,7/2/2018,9698
940240,POLICE OFFICER,1/9/2006,368
964548,POLICE OFFICER,10/18/2017,5240
946623,POLICE OFFICER,7/8/2008,3582
946623,SERGEANT,8/31/2018,4773
960642,POLICE OFFICER,1/6/2016,1324
962463,POLICE OFFICER,10/11/2016,18969
962463,SERGEANT,4/4/2024,3046
969109,POLICE OFFICER,1/6/2020,21592
944638,POLICE OFFICER,7/9/2007,4075
944638,SERGEANT,8/31/2018,4770
944638,LIEUTENANT,6/28/2024,
964549,POLICE OFFICER,10/18/2017,6703
964549,DETECTIVE,9/30/2024,5972
974175,POLICE OFFICER,4/13/2022,11512
982335,POLICE OFFICER,4/30/2025,29720
975563,POLICE OFFICER,10/19/2022,2097
971471,POLICE OFFICER,4/28/2021,17680
971989,POLICE OFFICER,7/7/2021,27715
944227,POLICE OFFICER,7/9/2007,5006
981379,POLICE OFFICER,1/29/2025,26324
977947,POLICE OFFICER,10/25/2023,6253
940241,POLICE OFFICER,1/9/2006,3124
950571,POLICE OFFICER,7/6/2011,21029
950571,DETECTIVE,12/21/2021,5122
950571,SERGEANT,2/9/2022,2027
969777,POLICE OFFICER,11/2/2020,25019
960643,POLICE OFFICER,1/6/2016,5770
977948,POLICE OFFICER,10/25/2023,9563
955639,POLICE OFFICER,7/9/2013,558
955639,DETECTIVE,1/26/2024,2964
953954,POLICE OFFICER,1/9/2013,28700
953954,SERGEANT,6/5/2018,3192
936740,POLICE OFFICER,1/10/2005,20402
936740,SERGEANT,12/17/2015,3528
901671,POLICE OFFICER,6/30/1992,7545
901671,SERGEANT,11/25/1997,2392
901671,LIEUTENANT,12/21/2000,
901671,LT SPECIAL ASSIGN,10/31/2023,
901671,LT DET COMMANDER,3/8/2024,
940242,POLICE OFFICER,1/9/2006,397
940242,DETECTIVE,9/30/2013,6335
958685,POLICE OFFICER,7/8/2015,17194
925431,POLICE OFFICER,3/1/2000,5567
925431,SERGEANT,8/31/2006,94
925431,LIEUTENANT,3/30/2012,
925431,CAPTAIN,6/9/2017,
925431,DEPUTY INSPECTOR,3/18/2021,
962465,POLICE OFFICER,10/11/2016,19173
962465,SERGEANT,9/5/2025,1821
936741,POLICE OFFICER,1/10/2005,842
936741,SERGEANT,12/17/2015,3545
936741,LIEUTENANT,11/20/2018,
978918,POLICE OFFICER,1/17/2024,19812
982336,POLICE OFFICER,4/30/2025,31043
947067,POLICE OFFICER,7/8/2008,11795
947067,POLICE OFFICER,7/10/2009,2912
947067,DETECTIVE,8/22/2017,1358
932777,POLICE OFFICER,7/1/2003,24860
932777,SERGEANT,9/29/2008,3276
932777,SGT DET SQUAD,12/21/2012,
932777,LIEUTENANT,2/24/2017,
932777,CAPTAIN,6/28/2019,
932777,DEPUTY INSPECTOR,8/25/2023,
932777,INSPECTOR,10/30/2025,
955976,POLICE OFFICER,1/8/2014,14920
960644,POLICE OFFICER,1/6/2016,16112
960644,SERGEANT,8/30/2024,842
960645,POLICE OFFICER,1/6/2016,1338
960645,DETECTIVE,4/28/2023,7726
967302,POLICE OFFICER,1/3/2019,29935
950572,POLICE OFFICER,7/6/2011,19176
950572,DETECTIVE,11/21/2017,5208
930328,POLICE OFFICER,7/1/2002,7777
930328,DETECTIVE,1/31/2008,2303
975524,POLICE OFFICER,10/19/2022,15852
953955,POLICE OFFICER,1/9/2013,30982
953955,DETECTIVE,11/20/2018,1280
934998,POLICE OFFICER,7/1/2004,23865
934998,DETECTIVE,4/24/2015,4620
976703,POLICE OFFICER,4/26/2023,18901
944639,POLICE OFFICER,7/9/2007,17268
944639,DETECTIVE,9/3/2021,4794
979921,POLICE OFFICER,7/3/2024,5748
944640,POLICE OFFICER,7/9/2007,17315
944640,DETECTIVE,7/27/2018,1831
944640,SERGEANT,12/19/2019,5080
940245,POLICE OFFICER,1/9/2006,13317
940245,SERGEANT,8/29/2013,3706
940245,LIEUTENANT,6/10/2021,
956727,POLICE OFFICER,7/9/2014,10096
969778,POLICE OFFICER,11/2/2020,25088
978538,POLICE OFFICER,1/3/2024,391
902796,POLICE OFFICER,11/30/1992,15858
902796,PO SPECIAL ASSIGN,5/24/1998,
934999,POLICE OFFICER,7/1/2004,6525
947068,POLICE OFFICER,7/8/2008,21873
971472,POLICE OFFICER,4/28/2021,9612
948045,POLICE OFFICER,1/14/2009,5247
948045,DETECTIVE,11/22/2016,5604
960647,POLICE OFFICER,1/6/2016,16134
947770,POLICE OFFICER,7/8/2008,9150
947770,DETECTIVE,1/27/2017,6093
950575,POLICE OFFICER,7/6/2011,26373
950575,SERGEANT,6/28/2019,244
977544,POLICE OFFICER,7/19/2023,29050
956730,POLICE OFFICER,7/9/2014,6126
956730,SERGEANT,8/25/2023,3792
974176,POLICE OFFICER,4/13/2022,11169
980584,POLICE OFFICER,10/30/2024,790
954921,POLICE OFFICER,7/9/2013,16622
954921,SERGEANT,5/31/2024,2395
974910,POLICE OFFICER,7/13/2022,17730
954922,POLICE OFFICER,7/9/2013,7304
964047,POLICE OFFICER,7/5/2017,19893
969779,POLICE OFFICER,11/2/2020,15181
968478,POLICE OFFICER,10/7/2019,22560
923936,POLICE OFFICER,7/7/1999,13021
923936,SERGEANT,4/29/2005,4193
923936,LIEUTENANT,7/2/2010,
923936,CAPTAIN,8/29/2013,
923936,DEPUTY INSPECTOR,12/22/2017,
923936,INSPECTOR,3/18/2021,
923936,DEPUTY CHIEF,11/27/2024,
960648,POLICE OFFICER,1/6/2016,14154
933839,POLICE OFFICER,1/20/2004,9587
933839,SERGEANT,2/27/2009,616
979210,POLICE OFFICER,4/24/2024,19866
974911,POLICE OFFICER,7/13/2022,17997
979922,POLICE OFFICER,7/3/2024,7218
957665,POLICE OFFICER,1/7/2015,16695
945808,POLICE OFFICER,1/7/2008,27263
945808,SERGEANT,6/10/2021,1068
945808,LIEUTENANT,8/30/2024,
973458,POLICE OFFICER,12/29/2021,29905
955977,POLICE OFFICER,1/8/2014,12727
955977,DETECTIVE,2/28/2018,702
935002,POLICE OFFICER,7/1/2004,5746
935002,SERGEANT,9/29/2009,2973
935002,LIEUTENANT,4/26/2013,
935002,LT DET COMMANDER,5/7/2018,
966099,POLICE OFFICER,7/2/2018,5579
966099,DETECTIVE,10/31/2023,6986
959688,POLICE OFFICER,10/7/2015,1553
936743,POLICE OFFICER,1/10/2005,957
936743,DETECTIVE,11/25/2014,4928
936743,SERGEANT,1/30/2018,4017
936743,SGT DET SQUAD,8/8/2025,
947069,POLICE OFFICER,7/8/2008,11799
947069,DETECTIVE,3/31/2017,6774
947069,SERGEANT,9/3/2021,2136
947069,SGT DET SQUAD,10/3/2025,
940246,POLICE OFFICER,1/9/2006,30969
939540,POLICE OFFICER,7/11/2005,23072
954923,POLICE OFFICER,7/9/2013,24570
954923,DETECTIVE,6/10/2021,2853
977949,POLICE OFFICER,10/25/2023,3616
953956,POLICE OFFICER,1/9/2013,12571
953956,DETECTIVE,2/24/2023,3060
941254,POLICE OFFICER,7/10/2006,29404
950576,POLICE OFFICER,7/6/2011,1388
950576,SERGEANT,9/29/2023,4776
946981,POLICE OFFICER,7/8/2008,531
946981,POLICE OFFICER,11/10/2008,18284
946981,DETECTIVE,9/28/2017,3587
950577,POLICE OFFICER,7/6/2011,14104
973099,POLICE OFFICER,10/15/2021,3060
975525,POLICE OFFICER,10/19/2022,12391
899338,POLICE OFFICER,4/30/1991,4408
899338,DETECTIVE,9/29/2000,4160
932779,POLICE OFFICER,7/1/2003,22347
932779,DETECTIVE,4/24/2009,2606
932779,SERGEANT,3/30/2012,1635
932779,SGT DET SQUAD,12/19/2019,
960650,POLICE OFFICER,1/6/2016,16137
960650,SERGEANT,6/28/2024,4682
980585,POLICE OFFICER,10/30/2024,29491
980585,POLICE OFFICER,12/27/2024,22212
924813,POLICE OFFICER,3/1/2000,30185
924813,SERGEANT,9/28/2007,1629
933840,POLICE OFFICER,1/20/2004,13687
933840,SERGEANT,2/27/2009,638
943363,POLICE OFFICER,1/10/2007,24213
943363,DETECTIVE,8/31/2015,3207
938601,POLICE OFFICER,7/11/2005,8764
938601,DETECTIVE,5/29/2020,6826
954924,POLICE OFFICER,7/9/2013,25604
954924,SERGEANT,12/23/2022,4173
938646,POLICE OFFICER,7/11/2005,9600
938646,SERGEANT,11/23/2010,3960
938646,LIEUTENANT,6/2/2014,
962466,POLICE OFFICER,10/11/2016,21982
973459,POLICE OFFICER,12/29/2021,30171
944644,POLICE OFFICER,7/9/2007,20032
952837,POLICE OFFICER,7/11/2012,31750
952837,POLICE OFFICER,11/16/2021,31772
952837,SERGEANT,12/23/2022,421
940248,POLICE OFFICER,1/9/2006,18644
982337,POLICE OFFICER,4/30/2025,31782
979505,POLICE OFFICER,4/24/2024,5608
976180,POLICE OFFICER,1/17/2023,10299
973460,POLICE OFFICER,12/29/2021,30396
973460,POLICE OFFICER,4/21/2023,11090
960651,POLICE OFFICER,1/6/2016,17785
947652,POLICE OFFICER,7/8/2008,14786
947652,DETECTIVE,10/25/2024,3111
936745,POLICE OFFICER,1/10/2005,843
936745,SERGEANT,10/29/2010,3139
936745,LIEUTENANT,4/24/2015,
936745,CAPTAIN,2/9/2022,
915874,POLICE OFFICER,6/30/1995,27499
915874,DETECTIVE,1/28/2011,5756
970591,POLICE OFFICER,12/29/2020,8637
970591,POLICE OFFICER,3/31/2021,12479
931722,POLICE OFFICER,7/1/2002,15467
931722,DETECTIVE,11/3/2014,1988
955978,POLICE OFFICER,1/8/2014,11696
952838,POLICE OFFICER,7/11/2012,17048
952838,SERGEANT,7/28/2023,1311
941886,POLICE OFFICER,7/10/2006,7638
941886,SERGEANT,9/28/2012,1065
941886,LIEUTENANT,8/1/2016,
941886,CAPTAIN,9/28/2018,
941886,DEPUTY INSPECTOR,1/31/2025,
948575,POLICE OFFICER,7/6/2010,2684
953958,POLICE OFFICER,1/9/2013,28705
953958,SERGEANT,8/30/2019,5540
953958,LIEUTENANT,9/30/2024,
953959,POLICE OFFICER,1/9/2013,9897
953959,DETECTIVE,6/10/2021,2858
962467,POLICE OFFICER,10/11/2016,19178
952839,POLICE OFFICER,7/11/2012,22186
952839,DETECTIVE,2/9/2022,1421
