taxid,rank,date,shield_no
959979,SERGEANT,7/31/2024,546
949654,POLICE OFFICER,7/6/2010,15081
949654,DETECTIVE,12/21/2018,5751
954331,POLICE OFFICER,1/9/2013,20779
954331,SERGEANT,9/3/2021,2544
926107,POLICE OFFICER,3/1/2000,27671
926107,DETECTIVE,12/22/2005,5748
978779,POLICE OFFICER,1/3/2024,19955
978779,POLICE OFFICER,1/25/2024,6725
974539,POLICE OFFICER,4/13/2022,13418
939456,POLICE OFFICER,7/11/2005,16289
939456,SERGEANT,3/30/2012,4079
939456,LIEUTENANT,7/21/2022,
948424,POLICE OFFICER,7/14/2009,27644
921765,POLICE OFFICER,7/1/1998,11203
921765,SERGEANT,6/24/2011,4929
945440,POLICE OFFICER,1/7/2008,3314
945440,SERGEANT,9/5/2014,34
945440,LIEUTENANT,9/28/2018,
975816,POLICE OFFICER,10/19/2022,31651
953389,POLICE OFFICER,7/11/2012,23022
953389,SERGEANT,12/23/2022,4299
964765,POLICE OFFICER,10/18/2017,6212
980899,POLICE OFFICER,10/30/2024,6518
937521,POLICE OFFICER,1/10/2005,15448
937521,DETECTIVE,6/9/2017,954
937521,SERGEANT,6/30/2017,3792
937521,LIEUTENANT,7/21/2022,
944172,POLICE OFFICER,1/10/2007,16551
973772,POLICE OFFICER,12/29/2021,25228
972246,POLICE OFFICER,7/7/2021,12497
951238,POLICE OFFICER,7/6/2011,17820
947486,POLICE OFFICER,7/8/2008,3901
937522,POLICE OFFICER,1/10/2005,19976
937522,SERGEANT,2/9/2022,3205
982656,POLICE OFFICER,4/30/2025,24131
966848,POLICE OFFICER,10/24/2018,3190
966848,SERGEANT,10/30/2025,1089
980193,POLICE OFFICER,7/3/2024,18583
966849,POLICE OFFICER,10/24/2018,7935
982657,POLICE OFFICER,4/30/2025,20104
982657,POLICE OFFICER,8/28/2025,14852
961275,POLICE OFFICER,1/6/2016,14362
961276,POLICE OFFICER,1/6/2016,14852
961276,DETECTIVE,6/27/2025,7897
965865,POLICE OFFICER,4/25/2018,12383
965865,SERGEANT,7/28/2023,1597
973773,POLICE OFFICER,12/29/2021,29051
944291,POLICE OFFICER,7/9/2007,14697
944291,DETECTIVE,12/21/2021,5601
961277,POLICE OFFICER,1/6/2016,15332
939457,POLICE OFFICER,7/11/2005,10689
953390,POLICE OFFICER,7/11/2012,11950
974540,POLICE OFFICER,4/13/2022,13929
963270,POLICE OFFICER,1/4/2017,25436
956256,POLICE OFFICER,1/8/2014,10451
956256,DETECTIVE,8/8/2025,3835
975174,POLICE OFFICER,7/13/2022,22035
972247,POLICE OFFICER,7/7/2021,23480
978214,POLICE OFFICER,10/25/2023,19085
972248,POLICE OFFICER,7/7/2021,15725
980330,POLICE OFFICER,7/19/2024,12565
980194,POLICE OFFICER,7/3/2024,20925
978215,POLICE OFFICER,10/25/2023,22152
