taxid,rank,date,shield_no
961887,POLICE OFFICER,7/13/2016,18095
975606,POLICE OFFICER,10/19/2022,16304
949206,POLICE OFFICER,7/6/2010,7656
967579,POLICE OFFICER,4/15/2019,12604
979994,POLICE OFFICER,7/3/2024,16888
977236,POLICE OFFICER,7/5/2023,15226
958815,POLICE OFFICER,7/8/2015,19029
958815,SERGEANT,5/31/2024,36
966164,POLICE OFFICER,7/2/2018,15304
969173,POLICE OFFICER,1/6/2020,12219
968575,POLICE OFFICER,10/7/2019,31763
975607,POLICE OFFICER,10/19/2022,17022
978603,POLICE OFFICER,1/3/2024,20103
978603,POLICE OFFICER,1/25/2024,7046
949207,POLICE OFFICER,7/6/2010,13537
949207,SERGEANT,7/21/2022,290
952992,POLICE OFFICER,7/11/2012,22615
952992,SERGEANT,7/21/2022,287
957769,POLICE OFFICER,1/7/2015,27257
952808,POLICE OFFICER,7/11/2012,21950
957770,POLICE OFFICER,1/7/2015,25811
957770,SERGEANT,10/31/2023,2881
954063,POLICE OFFICER,1/9/2013,11735
954063,SERGEANT,1/30/2018,4121
954063,SERGEANT,11/30/2018,1173
954063,LIEUTENANT,1/26/2024,
952994,POLICE OFFICER,7/11/2012,22919
952994,SERGEANT,6/24/2022,4408
976225,POLICE OFFICER,1/17/2023,7785
967165,POLICE OFFICER,1/3/2019,24319
976745,POLICE OFFICER,4/26/2023,1891
979995,POLICE OFFICER,7/3/2024,11623
975608,POLICE OFFICER,10/19/2022,17569
938856,POLICE OFFICER,7/11/2005,10726
938856,SERGEANT,10/28/2011,3996
938856,LIEUTENANT,11/25/2014,
967958,POLICE OFFICER,7/1/2019,18252
950748,POLICE OFFICER,7/6/2011,4841
956846,POLICE OFFICER,7/9/2014,13178
956846,SERGEANT,7/28/2023,1456
957771,POLICE OFFICER,1/7/2015,24560
958816,POLICE OFFICER,7/8/2015,17834
958816,SERGEANT,6/30/2023,858
947174,POLICE OFFICER,7/8/2008,24171
971529,POLICE OFFICER,4/28/2021,17068
966165,POLICE OFFICER,7/2/2018,14803
978939,POLICE OFFICER,1/17/2024,16596
