taxid,rank,date,shield_no
942838,LIEUTENANT,11/22/2016,
947611,POLICE OFFICER,7/8/2008,1812
962171,POLICE OFFICER,7/13/2016,5922
967396,POLICE OFFICER,1/3/2019,25450
958823,POLICE OFFICER,7/8/2015,20231
958823,DETECTIVE,2/9/2022,2685
954429,POLICE OFFICER,1/9/2013,3229
929499,POLICE OFFICER,7/1/2002,14558
929499,SERGEANT,6/24/2011,1827
929499,LIEUTENANT,6/10/2021,
929499,LT SPECIAL ASSIGN,11/21/2023,
978834,POLICE OFFICER,1/3/2024,23001
964840,POLICE OFFICER,10/18/2017,7824
905308,POLICE OFFICER,8/30/1993,18015
905308,DETECTIVE,12/17/1999,7389
905308,DETECTIVE,2/8/2002,710
972315,POLICE OFFICER,7/7/2021,12519
980270,POLICE OFFICER,7/3/2024,6649
940865,POLICE OFFICER,1/9/2006,19251
940865,DETECTIVE,10/18/2021,6578
956338,POLICE OFFICER,1/8/2014,13514
970944,POLICE OFFICER,12/29/2020,4052
966397,POLICE OFFICER,7/2/2018,14481
962172,POLICE OFFICER,7/13/2016,16722
964841,POLICE OFFICER,10/18/2017,10897
975890,POLICE OFFICER,10/19/2022,14723
941170,POLICE OFFICER,1/9/2006,29188
962173,POLICE OFFICER,7/13/2016,4705
978835,POLICE OFFICER,1/3/2024,19662
980974,POLICE OFFICER,10/30/2024,9578
968889,POLICE OFFICER,10/7/2019,31975
973853,POLICE OFFICER,12/29/2021,31441
945107,POLICE OFFICER,7/9/2007,15392
945107,DETECTIVE,12/22/2017,5994
952354,POLICE OFFICER,1/9/2012,8144
952354,DETECTIVE,12/21/2018,5987
937749,POLICE OFFICER,1/10/2005,23984
937749,DETECTIVE,10/26/2012,3363
947612,POLICE OFFICER,7/8/2008,4598
947612,DETECTIVE,1/31/2014,7789
970945,POLICE OFFICER,12/29/2020,8386
962878,POLICE OFFICER,10/11/2016,20378
957291,POLICE OFFICER,7/9/2014,1318
964842,POLICE OFFICER,10/18/2017,30705
964842,DETECTIVE,9/30/2024,7557
952355,POLICE OFFICER,1/9/2012,2703
952355,SERGEANT,7/27/2018,4651
952355,LIEUTENANT,9/30/2024,
946399,POLICE OFFICER,1/7/2008,28598
946399,SERGEANT,8/30/2019,5630
946399,LIEUTENANT,7/31/2024,
943966,POLICE OFFICER,1/10/2007,12201
943966,DETECTIVE,10/25/2013,508
976914,POLICE OFFICER,4/26/2023,21558
979007,POLICE OFFICER,1/17/2024,4873
951448,POLICE OFFICER,7/6/2011,26853
951448,DETECTIVE,11/24/2020,7275
949806,POLICE OFFICER,7/6/2010,305
949806,DETECTIVE,8/30/2024,4073
965622,POLICE OFFICER,1/10/2018,28049
931445,POLICE OFFICER,7/1/2002,2439
931445,SERGEANT,6/25/2014,4679
927821,POLICE OFFICER,7/2/2001,4977
927821,SERGEANT,5/25/2007,4325
927821,LIEUTENANT,6/5/2018,
953576,POLICE OFFICER,7/11/2012,28271
953576,SERGEANT,8/26/2022,5167
953576,LIEUTENANT,5/30/2025,
949807,POLICE OFFICER,7/6/2010,11217
940867,POLICE OFFICER,1/9/2006,13940
943967,POLICE OFFICER,1/10/2007,13193
959379,POLICE OFFICER,7/8/2015,17435
959379,DETECTIVE,6/27/2025,7932
967725,POLICE OFFICER,4/15/2019,15998
959380,POLICE OFFICER,7/8/2015,19582
959380,SERGEANT,9/30/2024,2316
942720,POLICE OFFICER,7/10/2006,1265
953577,POLICE OFFICER,7/11/2012,24965
972316,POLICE OFFICER,7/7/2021,12547
976484,POLICE OFFICER,1/17/2023,3676
957292,POLICE OFFICER,7/9/2014,5944
955671,POLICE OFFICER,7/9/2013,8166
939705,POLICE OFFICER,7/11/2005,28653
939705,SERGEANT,9/29/2014,4721
941542,POLICE OFFICER,7/10/2006,4425
941542,SERGEANT,5/29/2012,3756
941542,LIEUTENANT,11/24/2020,
979008,POLICE OFFICER,1/17/2024,746
965899,POLICE OFFICER,4/25/2018,3958
965899,SERGEANT,7/31/2024,584
979598,POLICE OFFICER,4/24/2024,9858
956339,POLICE OFFICER,1/8/2014,16913
956339,SERGEANT,6/10/2021,1617
956339,LIEUTENANT,5/31/2024,
937751,POLICE OFFICER,1/10/2005,29464
937751,DETECTIVE,1/31/2025,3869
958183,POLICE OFFICER,1/7/2015,16201
955672,POLICE OFFICER,7/9/2013,10936
955672,DETECTIVE,9/30/2024,7568
947613,POLICE OFFICER,7/8/2008,11470
947613,SERGEANT,7/28/2017,3524
973854,POLICE OFFICER,12/29/2021,30315
949808,POLICE OFFICER,7/6/2010,2222
949808,SERGEANT,1/30/2018,33
968195,POLICE OFFICER,7/1/2019,16136
968195,SERGEANT,10/3/2025,3871
937753,POLICE OFFICER,1/10/2005,7248
937753,SERGEANT,12/21/2012,2201
937753,LIEUTENANT,8/30/2019,
937753,CAPTAIN,2/23/2024,
951449,POLICE OFFICER,7/6/2011,30037
951449,SERGEANT,6/24/2022,4568
946661,POLICE OFFICER,7/8/2008,6050
974656,POLICE OFFICER,4/13/2022,13999
972317,POLICE OFFICER,7/7/2021,15872
945406,POLICE OFFICER,1/7/2008,27792
945378,POLICE OFFICER,1/7/2008,29314
947614,POLICE OFFICER,7/8/2008,3147
945110,POLICE OFFICER,7/9/2007,10838
945110,DETECTIVE,11/26/2019,3165
916929,POLICE OFFICER,6/30/1995,29384
916929,SERGEANT,7/29/2005,2908
916929,SGT DET SQUAD,11/18/2019,
966398,POLICE OFFICER,7/2/2018,12373
934261,POLICE OFFICER,1/20/2004,1222
973036,POLICE OFFICER,10/12/2021,6234
942721,POLICE OFFICER,7/10/2006,12652
942721,SERGEANT,2/24/2017,2574
964843,POLICE OFFICER,10/18/2017,7028
964843,POLICE OFFICER,11/8/2019,25599
940945,POLICE OFFICER,1/9/2006,22641
940945,SERGEANT,6/29/2012,4946
940945,LIEUTENANT,3/18/2021,
942722,POLICE OFFICER,7/10/2006,18848
946400,POLICE OFFICER,1/7/2008,26984
946400,DETECTIVE,4/1/2022,4080
884599,POLICE OFFICER,1/2/1990,12865
884599,DETECTIVE,3/26/1991,1570
939707,POLICE OFFICER,7/11/2005,16516
942723,POLICE OFFICER,7/10/2006,25048
942723,SERGEANT,12/22/2020,1858
942723,POLICE OFFICER,7/11/2023,1889
965623,POLICE OFFICER,1/10/2018,27044
964844,POLICE OFFICER,10/18/2017,8663
955674,POLICE OFFICER,7/9/2013,12789
931447,POLICE OFFICER,7/1/2002,31861
931447,SERGEANT,8/30/2012,5631
931447,LIEUTENANT,8/30/2019,
948442,POLICE OFFICER,7/14/2009,25568
948442,SERGEANT,5/2/2016,2490
948442,LIEUTENANT,2/9/2022,
917198,POLICE OFFICER,7/18/1996,23139
917198,DETECTIVE,6/2/2014,4977
935980,POLICE OFFICER,7/1/2004,13224
935980,SERGEANT,8/30/2012,5633
940788,POLICE OFFICER,1/9/2006,1298
964347,POLICE OFFICER,7/5/2017,18006
947615,POLICE OFFICER,7/8/2008,3976
947615,SERGEANT,6/2/2014,3795
947615,LIEUTENANT,6/5/2018,
947615,CAPTAIN,10/31/2023,
945112,POLICE OFFICER,7/9/2007,1181
945112,SERGEANT,8/3/2012,5384
945112,LIEUTENANT,11/22/2016,
945112,CAPTAIN,4/30/2020,
945112,DEPUTY INSPECTOR,7/31/2024,
942724,POLICE OFFICER,7/10/2006,10034
942724,SERGEANT,6/2/2014,3815
971276,POLICE OFFICER,2/24/2021,23478
931448,POLICE OFFICER,7/1/2002,26332
962174,POLICE OFFICER,7/13/2016,12002
959381,POLICE OFFICER,7/8/2015,17573
959381,SERGEANT,7/31/2024,588
966399,POLICE OFFICER,7/2/2018,10498
961456,POLICE OFFICER,1/6/2016,2996
961456,SERGEANT,8/30/2024,5515
955675,POLICE OFFICER,7/9/2013,4801
975891,POLICE OFFICER,10/19/2022,8039
935979,POLICE OFFICER,7/1/2004,22847
954431,POLICE OFFICER,1/9/2013,28328
954431,DETECTIVE,11/24/2020,7282
961925,POLICE OFFICER,7/13/2016,18769
959382,POLICE OFFICER,7/8/2015,20955
959382,DETECTIVE,5/31/2024,4720
948566,POLICE OFFICER,1/11/2010,5436
976485,POLICE OFFICER,1/17/2023,5396
955677,POLICE OFFICER,7/9/2013,14778
