taxid,rank,date,shield_no
913853,LIEUTENANT,4/27/2001,
913853,LT SPECIAL ASSIGN,7/31/2006,
913853,CAPTAIN,8/2/2011,
913853,DEPUTY INSPECTOR,8/31/2015,
913853,INSPECTOR,4/30/2020,
913853,DEPUTY CHIEF,11/27/2024,
952770,POLICE OFFICER,7/11/2012,12317
952770,DETECTIVE,6/10/2021,3924
952770,SERGEANT,8/25/2023,933
951767,POLICE OFFICER,1/9/2012,15655
949013,POLICE OFFICER,7/6/2010,4807
925338,POLICE OFFICER,3/1/2000,16180
925338,SERGEANT,6/30/2006,424
925338,LIEUTENANT,4/26/2013,
963041,POLICE OFFICER,1/4/2017,25184
951768,POLICE OFFICER,1/9/2012,13445
951768,SERGEANT,10/30/2019,1494
917668,POLICE OFFICER,7/18/1996,487
917668,SERGEANT,7/26/2001,4102
917668,LIEUTENANT,7/30/2004,
917668,LT DET COMMANDER,8/31/2007,
917668,CAPTAIN,9/29/2008,
917668,DEPUTY INSPECTOR,8/3/2012,
917668,INSPECTOR,7/30/2021,
917668,DEPUTY CHIEF,2/28/2025,
967889,POLICE OFFICER,7/1/2019,20622
979176,POLICE OFFICER,4/24/2024,3991
888751,POLICE OFFICER,1/9/1986,16841
888751,PO SPECIAL ASSIGN,5/24/1998,
888751,SERGEANT,9/29/2000,3318
945680,POLICE OFFICER,1/7/2008,30955
945680,SERGEANT,10/7/2019,3486
934915,POLICE OFFICER,7/1/2004,16322
934915,SERGEANT,8/5/2009,1515
934915,LIEUTENANT,3/28/2014,
969724,POLICE OFFICER,11/2/2020,19747
957649,POLICE OFFICER,1/7/2015,7948
957649,DETECTIVE,6/10/2021,379
945752,POLICE OFFICER,1/7/2008,29821
945752,SERGEANT,2/24/2017,1531
958619,POLICE OFFICER,7/8/2015,20437
956669,POLICE OFFICER,7/9/2014,12551
919093,POLICE OFFICER,4/15/1997,5218
968432,POLICE OFFICER,10/7/2019,10702
971068,POLICE OFFICER,2/24/2021,25313
936656,POLICE OFFICER,1/10/2005,16862
936656,DETECTIVE,1/31/2025,3737
945753,POLICE OFFICER,1/7/2008,2046
950485,POLICE OFFICER,7/6/2011,29328
952771,POLICE OFFICER,7/11/2012,14227
952771,DETECTIVE,10/25/2024,3108
945754,POLICE OFFICER,1/7/2008,2084
945754,SERGEANT,5/2/2016,2507
945754,LIEUTENANT,6/24/2022,
