taxid,rank,date,shield_no
956527,POLICE OFFICER,7/9/2014,4729
941561,POLICE OFFICER,7/10/2006,11109
959552,POLICE OFFICER,10/7/2015,9133
959552,SERGEANT,6/28/2024,4600
923667,POLICE OFFICER,7/7/1999,7015
923667,DETECTIVE,2/28/2014,7098
952590,POLICE OFFICER,7/11/2012,31433
952590,SERGEANT,12/23/2022,4112
947904,POLICE OFFICER,1/14/2009,2278
947904,DETECTIVE,2/9/2022,2278
958408,POLICE OFFICER,7/8/2015,7332
958408,DETECTIVE,6/10/2021,2483
951613,POLICE OFFICER,1/9/2012,13397
951613,SERGEANT,10/7/2019,3414
951613,LIEUTENANT,4/25/2025,
956528,POLICE OFFICER,7/9/2014,13083
977824,POLICE OFFICER,10/25/2023,31605
958409,POLICE OFFICER,7/8/2015,20819
948784,POLICE OFFICER,7/6/2010,6731
948784,DETECTIVE,12/22/2017,2144
969588,POLICE OFFICER,11/2/2020,11479
979106,POLICE OFFICER,4/24/2024,2512
965990,POLICE OFFICER,7/2/2018,7689
965990,SERGEANT,8/30/2024,735
957466,POLICE OFFICER,1/7/2015,15613
974013,POLICE OFFICER,4/13/2022,6941
971369,POLICE OFFICER,4/28/2021,8553
928074,POLICE OFFICER,7/2/2001,23830
934648,POLICE OFFICER,7/1/2004,10840
967814,POLICE OFFICER,7/1/2019,19554
940007,POLICE OFFICER,1/9/2006,6160
942628,POLICE OFFICER,7/10/2006,28580
976618,POLICE OFFICER,4/26/2023,18742
965991,POLICE OFFICER,7/2/2018,11452
965991,DETECTIVE,5/31/2024,3988
965991,SERGEANT,6/28/2024,4603
981158,POLICE OFFICER,1/29/2025,7912
940008,POLICE OFFICER,1/9/2006,29566
940008,DETECTIVE,11/26/2013,3746
940008,SERGEANT,6/9/2017,937
940008,LIEUTENANT,12/23/2022,
938165,POLICE OFFICER,7/11/2005,14923
933901,POLICE OFFICER,1/20/2004,2232
933901,DETECTIVE,8/3/2012,5716
980455,POLICE OFFICER,10/30/2024,30828
974014,POLICE OFFICER,4/13/2022,13597
981159,POLICE OFFICER,1/29/2025,8875
951614,POLICE OFFICER,1/9/2012,14743
941562,POLICE OFFICER,7/10/2006,21714
941562,SERGEANT,3/28/2013,3588
941562,LIEUTENANT,8/30/2019,
971870,POLICE OFFICER,7/7/2021,26159
946638,POLICE OFFICER,7/8/2008,17999
946638,DETECTIVE,4/24/2015,4861
959554,POLICE OFFICER,10/7/2015,3790
936355,POLICE OFFICER,1/10/2005,27252
936355,DETECTIVE,6/2/2014,3202
932470,POLICE OFFICER,7/1/2003,29286
932470,SERGEANT,3/26/2010,1618
961695,POLICE OFFICER,7/13/2016,8715
963917,POLICE OFFICER,7/5/2017,13663
963217,POLICE OFFICER,1/4/2017,24252
963217,DETECTIVE,9/30/2024,5832
898852,POLICE OFFICER,1/23/1991,20027
898852,SERGEANT,6/24/1994,160
898852,LIEUTENANT,2/2/1998,
898852,CAPTAIN,5/30/2002,
898852,DEPUTY INSPECTOR,3/28/2008,
898852,INSPECTOR,5/29/2012,
898852,DEPUTY CHIEF,12/19/2014,
951615,POLICE OFFICER,1/9/2012,1410
951615,SERGEANT,10/18/2021,2831
936356,POLICE OFFICER,1/10/2005,26556
936356,SERGEANT,6/29/2012,4123
951616,POLICE OFFICER,1/9/2012,16884
980299,POLICE OFFICER,7/19/2024,11478
952592,POLICE OFFICER,7/11/2012,15195
952592,SERGEANT,3/5/2019,3500
953757,POLICE OFFICER,1/9/2013,2427
953757,SERGEANT,8/31/2018,4722
973310,POLICE OFFICER,12/29/2021,26697
973310,POLICE OFFICER,5/4/2022,107
976050,POLICE OFFICER,1/17/2023,2650
941563,POLICE OFFICER,7/10/2006,23509
941563,SERGEANT,6/2/2014,391
941563,LIEUTENANT,4/30/2020,
943090,POLICE OFFICER,1/10/2007,7810
944032,POLICE OFFICER,1/10/2007,29062
974015,POLICE OFFICER,4/13/2022,14108
936357,POLICE OFFICER,1/10/2005,17250
936357,SERGEANT,4/28/2017,214
936357,LIEUTENANT,6/24/2022,
958411,POLICE OFFICER,7/8/2015,20416
951617,POLICE OFFICER,1/9/2012,14083
951618,POLICE OFFICER,1/9/2012,16111
951618,SERGEANT,12/23/2022,4114
946861,POLICE OFFICER,7/8/2008,13621
945589,POLICE OFFICER,1/7/2008,13751
921215,POLICE OFFICER,7/1/1998,5043
975403,POLICE OFFICER,10/19/2022,16751
957469,POLICE OFFICER,1/7/2015,16003
957469,DETECTIVE,6/10/2021,2484
945590,POLICE OFFICER,1/7/2008,15181
945590,DETECTIVE,11/26/2019,2941
969016,POLICE OFFICER,1/6/2020,11506
964996,POLICE OFFICER,1/10/2018,1755
969589,POLICE OFFICER,11/2/2020,14246
943091,POLICE OFFICER,1/10/2007,17652
946862,POLICE OFFICER,7/8/2008,7140
946862,DETECTIVE,12/22/2020,3509
968329,POLICE OFFICER,10/7/2019,5644
966510,POLICE OFFICER,10/24/2018,12715
941564,POLICE OFFICER,7/10/2006,17354
941564,SERGEANT,8/31/2015,190
